Text,Income,Credit_Score,Rating,Loan_Amount,DTI_Ratio,Employment_Status,Approval
I want to buy a car for my rideshare business on Uber.,169715,446,Poor,91449,20.22,1,0
I need a loan to buy a truck and start a moving business.,101140,723,Good,12054,8.01,1,1
I need money to cover unexpected medical expenses from surgery.,124782,753,Very Good,39280,28.73,1,1
I need a loan to start a small business.,175819,773,Very Good,17512,4.9,1,1
I want to invest in livestock to start a small dairy farm.,117096,707,Good,10351,25.61,1,1
I need funds to stock inventory for my new retail store.,123747,523,Poor,6483,36.56,0,0
I need money to refinance my home loan at a lower interest rate.,29373,424,Poor,18893,34.12,1,0
I need money to open a small bookstore and café.,168450,500,Poor,30334,13.42,1,0
I need money to open a small bookstore and café.,141425,746,Very Good,68916,32.08,0,0
I need a loan to cover emergency expenses after a natural disaster.,41381,735,Good,28392,48.41,1,0
I need financial help to pay off my high-interest payday loans.,59795,671,Good,38186,20.64,0,0
I need financial assistance to buy farm equipment for my agricultural business.,133413,756,Very Good,15227,10.91,1,1
I need funds to pay for my pilot training program.,102875,634,Fair,21584,7.16,0,0
I want to pay off my payday loans and switch to a lower-interest option.,89042,837,Excellent,44428,9.32,0,0
I want to purchase land to start an organic farming venture.,181923,636,Fair,45729,2.82,0,0
I need a loan to develop and launch my mobile app startup.,86016,441,Poor,29215,37.73,1,0
I need a loan to pay for my son's medical treatment and therapy.,67038,532,Poor,44218,18.74,0,0
I want to pay off my payday loans and switch to a lower-interest option.,95361,815,Excellent,66239,35.66,1,0
I need a loan to install a security system at home.,60274,302,Poor,2090,25.1,0,0
I need funds to enroll in a professional certification program.,74095,433,Poor,16407,8.02,1,0
I want to start a mobile pet grooming service and need funds for supplies.,128873,760,Very Good,96949,25.51,0,0
I need funds to upgrade my computer and buy software for freelance work.,100536,830,Excellent,24315,15.87,0,0
I want to consolidate my credit card debts into one manageable payment.,150809,499,Poor,9097,30.04,1,0
I need money to purchase a food truck and start my own business.,180468,742,Very Good,9202,11.14,0,0
I want to buy a car for my rideshare business on Uber.,122605,759,Very Good,23889,27.44,0,0
I need funds to pay for my daughter's college tuition.,185876,460,Poor,114812,24.15,0,0
I want to expand my small online clothing store.,187100,342,Poor,130172,11.67,1,0
I want to buy a car for my rideshare business on Uber.,98067,635,Fair,43038,22.27,0,0
I need money to purchase a food truck and start my own business.,126701,652,Fair,61531,28.14,1,1
I need money to pay for a vocational training course in plumbing.,186010,761,Very Good,91327,6.61,1,1
I need financial help to build my dream home in the countryside.,63859,776,Very Good,49914,59.35,1,0
I need money to cover adoption fees and related expenses.,156609,775,Very Good,20139,12.19,1,1
I want to start a small roadside food stall and need funds for equipment.,118990,736,Good,34693,21.85,0,0
I want to invest in livestock to start a small dairy farm.,150972,612,Fair,101983,29.1,0,0
I need funds to expand my home-based bakery to a physical store.,100046,650,Fair,37062,46.14,1,1
I need a loan to install a security system at home.,27882,328,Poor,22076,54.44,1,0
I need money to purchase a food truck and start my own business.,81257,693,Good,22388,39.68,0,0
I need financial help to cover maternity and delivery expenses.,72755,476,Poor,9942,26.25,1,0
I need a loan to cover hospital bills after an unexpected surgery.,107267,550,Poor,46758,18.0,0,0
I want to buy a car for my rideshare business on Uber.,154924,465,Poor,102474,8.83,0,0
I need a loan to pay for a much-needed vacation after years of saving.,146949,677,Good,80271,16.93,1,1
I need a loan to start a small business.,77955,300,Poor,14227,15.92,1,0
I want to start a small roadside food stall and need funds for equipment.,187465,706,Good,21444,5.23,0,0
I need financial help to cover unexpected veterinary bills for my pet.,146306,308,Poor,41724,7.87,1,0
I need financial help to pay off my high-interest payday loans.,75538,370,Poor,16948,37.3,0,0
I need a loan to buy a motorcycle for daily transportation.,163868,375,Poor,47948,7.58,0,0
I need a loan to pay for legal fees related to my business license.,108572,339,Poor,9415,39.42,0,0
I need funds to buy new furniture and appliances for my house.,177323,759,Very Good,96496,26.38,1,1
I need a loan to pay for my son's medical treatment and therapy.,135126,440,Poor,106182,9.56,0,0
I want to expand my small online clothing store.,30085,394,Poor,1997,30.15,0,0
I need financial support to renovate my rental apartment.,77923,315,Poor,10118,9.4,0,0
I need a loan to buy a truck and start a moving business.,79057,441,Poor,45389,7.5,0,0
I need money to buy new tools and materials for my woodworking business.,124065,596,Fair,59519,11.74,0,0
I need a loan to install a security system at home.,165125,308,Poor,46385,28.15,0,0
I need funds to buy new furniture and appliances for my house.,63243,703,Good,28340,54.05,1,0
I need money to refinance my home loan at a lower interest rate.,42994,616,Fair,6187,49.2,1,1
I need financial help to cover unexpected veterinary bills for my pet.,109051,534,Poor,66921,40.45,0,0
I need a loan to cover emergency expenses after a natural disaster.,92435,411,Poor,25372,24.28,0,0
I need financial support to renovate my rental apartment.,55134,526,Poor,25667,12.72,0,0
I need money to open a small bookstore and café.,49364,588,Fair,34175,36.51,1,0
I need money to launch my own tech startup focused on AI solutions.,175993,620,Fair,14398,14.41,0,0
I need financial help to install a swimming pool in my backyard.,94550,785,Very Good,33260,23.28,0,0
I need a loan to buy a truck and start a moving business.,108093,436,Poor,78258,35.44,0,0
I need a loan to buy a motorcycle for daily transportation.,190836,612,Fair,121127,14.08,1,0
I need financial support for medical treatment abroad.,95428,648,Fair,39679,28.92,1,1
I need funds to upgrade my computer and buy software for freelance work.,59682,425,Poor,1617,10.72,1,0
I need money to purchase a food truck and start my own business.,186770,709,Good,29708,6.83,0,0
I need money to invest in stock trading and portfolio building.,158083,629,Fair,49727,14.76,1,1
I need funds to pay for my daughter's college tuition.,110805,750,Very Good,72616,41.18,0,0
I need a loan to finance my MBA and career advancement.,168509,646,Fair,3200,12.35,1,1
I want to invest in livestock to start a small dairy farm.,191535,654,Fair,52204,14.63,0,0
I need financial support for medical treatment abroad.,187666,678,Good,55039,16.64,0,0
I need a loan to buy a truck and start a moving business.,195162,523,Poor,47061,6.1,0,0
I need a loan to buy a motorcycle for daily transportation.,101646,670,Good,65159,39.14,1,0
I need financial assistance to buy farm equipment for my agricultural business.,77903,397,Poor,5096,16.26,0,0
I want to purchase land to start an organic farming venture.,51961,802,Excellent,14516,39.59,0,0
I need funds to buy new furniture and appliances for my house.,127808,445,Poor,74808,18.99,1,0
I need financial assistance to buy farm equipment for my agricultural business.,108316,388,Poor,57195,25.17,0,0
I need a loan to cover hospital bills after an unexpected surgery.,77744,807,Excellent,32168,52.6,1,0
I need a loan to relocate to a new city after getting a job offer.,111701,585,Fair,23820,36.07,0,0
I need financial assistance to launch my own YouTube content creation business.,61693,795,Very Good,41036,30.72,0,0
I need funds to upgrade my computer and buy software for freelance work.,72194,506,Poor,29210,18.24,1,0
I need financial support to renovate my rental apartment.,60152,783,Very Good,22660,60.76,1,0
I need funds to launch my handmade jewelry brand online.,78256,706,Good,29818,61.44,1,0
"I need financial help to cover wedding expenses, including the venue and catering.",174644,750,Very Good,10471,16.14,0,0
I need money to open a small bookstore and café.,181469,406,Poor,34667,27.46,0,0
I need financial support to open a daycare center in my neighborhood.,155787,637,Fair,113881,26.99,0,0
I need financial support to renovate my rental apartment.,40636,730,Good,27922,58.37,1,0
I need money to cover funeral expenses for a loved one.,46043,385,Poor,21961,23.26,0,0
I need money to launch my own tech startup focused on AI solutions.,103286,619,Fair,23301,6.65,0,0
I want to invest in livestock to start a small dairy farm.,46052,830,Excellent,26767,16.73,1,1
I need money to pay for a vocational training course in plumbing.,127170,555,Poor,31263,12.68,0,0
I need financial assistance to buy farm equipment for my agricultural business.,164143,633,Fair,19954,9.9,1,1
I need funds to expand my home-based bakery to a physical store.,112826,708,Good,27118,9.85,1,1
I need a loan to pay for a down payment on my first home.,83032,827,Excellent,6146,40.57,0,0
I need money to publish and market my self-written book.,95793,629,Fair,41359,23.76,1,1
I need money to invest in stock trading and portfolio building.,148097,780,Very Good,16873,16.25,0,0
I want to buy a car for my rideshare business on Uber.,110788,402,Poor,28520,34.17,1,0
I need a loan to pay for legal fees related to my business license.,84090,505,Poor,49088,19.59,1,0
I need money to pay for a vocational training course in plumbing.,133652,501,Poor,44583,5.69,0,0
I need financial help to cover maternity and delivery expenses.,141459,817,Excellent,53935,21.13,1,1
I need money to open a small bookstore and café.,132114,736,Good,51666,6.0,0,0
I need money to cover unexpected medical expenses from surgery.,155163,669,Fair,56907,9.47,1,1
"I need financial help to cover wedding expenses, including the venue and catering.",130326,825,Excellent,54707,34.83,0,0
I want to purchase land to start an organic farming venture.,74836,439,Poor,51019,40.44,0,0
I need financial support to pay for my son's football training program.,91078,409,Poor,35037,52.15,1,0
I need financial support for medical treatment abroad.,196288,578,Poor,69156,3.01,1,1
I need financial assistance to launch my own YouTube content creation business.,156416,590,Fair,111596,24.77,1,0
I need funds to launch my handmade jewelry brand online.,172847,697,Good,2867,4.79,1,1
I want to expand my small online clothing store.,164748,459,Poor,119184,3.34,0,0
I want to make home improvements like installing solar panels.,121574,521,Poor,73273,32.75,1,0
I need a loan to repair my car after an accident.,197472,448,Poor,22292,18.35,1,0
I want to start a local transportation service and need funds for a van.,175297,525,Poor,28730,23.75,0,0
I want to invest in livestock to start a small dairy farm.,45250,723,Good,1178,59.2,1,0
I want to consolidate my credit card debts into one manageable payment.,46881,823,Excellent,35073,15.14,0,0
I need a loan to pay for a down payment on my first home.,199221,627,Fair,34067,6.63,0,0
I want to invest in livestock to start a small dairy farm.,100271,388,Poor,17868,26.8,1,0
I need funds to stock inventory for my new retail store.,153789,409,Poor,115334,20.45,0,0
I need money to cover funeral expenses for a loved one.,41874,771,Very Good,19656,57.27,1,0
I need a loan to pay for an international vacation with my family.,82728,633,Fair,47739,16.95,0,0
I need funds to expand my home-based bakery to a physical store.,67806,652,Fair,41425,40.49,1,0
I need a loan to buy a truck and start a moving business.,130906,678,Good,13167,6.95,1,1
I want to pay off my payday loans and switch to a lower-interest option.,134633,734,Good,102447,34.19,0,0
I need a loan to pay for an international vacation with my family.,120498,519,Poor,15380,36.57,0,0
I need funds to stock inventory for my new retail store.,142893,397,Poor,34008,18.62,1,0
I need money to invest in a franchise business opportunity.,65129,847,Excellent,49369,17.03,1,0
I need a loan to pay for a digital marketing course to grow my business.,51846,539,Poor,2539,51.83,1,0
I need funds to buy new furniture and appliances for my house.,94252,711,Good,63048,6.17,0,0
I want to buy a car for my rideshare business on Uber.,186383,817,Excellent,86396,18.19,0,0
I need money to purchase a food truck and start my own business.,189272,602,Fair,83654,17.46,0,0
I need financial help to build my dream home in the countryside.,161255,445,Poor,68539,7.77,0,0
I need a loan to repair my car after an accident.,181163,481,Poor,34317,6.58,0,0
I want to pay off my payday loans and switch to a lower-interest option.,153720,801,Excellent,37634,23.34,1,1
I want to purchase land to start an organic farming venture.,35226,523,Poor,12155,26.31,1,0
I need money to cover funeral expenses for a loved one.,101354,688,Good,8063,29.08,0,0
I want to pay off my payday loans and switch to a lower-interest option.,129608,739,Good,72501,14.94,0,0
I need money to start a home-based catering business.,96848,790,Very Good,11251,38.45,1,1
I need a loan to cover hospital bills after an unexpected surgery.,42748,469,Poor,16620,63.74,1,0
I need money to cover unexpected legal expenses related to a dispute.,180137,756,Very Good,101255,18.11,0,0
I want to buy a car for my rideshare business on Uber.,61156,343,Poor,33691,53.29,1,0
I need a loan to finance my MBA and career advancement.,179091,538,Poor,99528,10.62,0,0
I need a loan to buy a truck and start a moving business.,139051,562,Poor,13446,18.27,1,1
I need financial help to build my dream home in the countryside.,73208,780,Very Good,50109,17.75,1,0
I need a loan to upgrade my small music studio with better equipment.,68761,356,Poor,15276,8.44,0,0
I need funds to pay for my daughter's college tuition.,183124,551,Poor,134992,14.73,1,0
I need a loan to build a website and market my freelance services.,199352,416,Poor,52930,18.47,1,0
I need financial support to open a daycare center in my neighborhood.,123433,588,Fair,93054,27.18,0,0
I need money to refinance my home loan at a lower interest rate.,151480,573,Poor,67686,23.85,0,0
I want to start a small roadside food stall and need funds for equipment.,157875,824,Excellent,46830,15.81,0,0
I need financial help to cover maternity and delivery expenses.,141960,788,Very Good,13970,7.46,0,0
I need funds to enroll in a professional certification program.,140089,600,Fair,9786,23.06,1,1
I need money to open a small bookstore and café.,174378,481,Poor,93890,11.33,1,0
I need money to cover unexpected medical expenses from surgery.,161271,509,Poor,100867,8.5,0,0
I need a loan to upgrade my small music studio with better equipment.,124257,701,Good,56791,31.46,0,0
I need money to buy new tools and materials for my woodworking business.,35851,533,Poor,11382,23.03,1,0
I need a loan to cover moving expenses after being transferred to another city.,44584,398,Poor,12036,51.28,1,0
I need a loan to pay for a down payment on my first home.,126693,682,Good,30223,8.87,1,1
I need money to launch my own tech startup focused on AI solutions.,136449,707,Good,19805,7.02,0,0
I need money to invest in a franchise business opportunity.,148690,685,Good,15881,10.08,1,1
I need money to buy new tools and materials for my woodworking business.,98648,628,Fair,9945,31.91,0,0
I want to invest in a rental property as a source of passive income.,51586,652,Fair,34561,34.77,1,0
I need money to purchase a food truck and start my own business.,166400,671,Good,18402,12.65,1,1
I need a loan to cover hospital bills after an unexpected surgery.,32512,330,Poor,10164,50.73,1,0
I need money to pay for a vocational training course in plumbing.,148692,554,Poor,11174,12.96,1,1
I need money to purchase a food truck and start my own business.,186067,452,Poor,17411,13.65,0,0
I need a loan to develop and launch my mobile app startup.,188241,481,Poor,10191,6.09,1,0
I need financial support to pay for my son's football training program.,55595,807,Excellent,36519,40.53,1,0
I need a loan to cover emergency expenses after a natural disaster.,109300,388,Poor,45182,33.36,1,0
I need a loan to buy a truck and start a moving business.,199268,731,Good,22018,10.27,1,1
I need a loan to develop and launch my mobile app startup.,91790,361,Poor,36971,52.74,0,0
I need a loan to cover emergency expenses after a natural disaster.,183136,729,Good,84620,25.77,1,1
I need financial support to open a daycare center in my neighborhood.,122804,475,Poor,13046,29.76,0,0
I want to purchase land to start an organic farming venture.,146939,352,Poor,42473,22.32,0,0
I want to start a local transportation service and need funds for a van.,134262,466,Poor,58894,14.18,0,0
I need money to invest in stock trading and portfolio building.,141238,398,Poor,61700,34.91,1,0
I need financial support to pay for my son's football training program.,119531,789,Very Good,88275,4.24,0,0
I need funds to expand my home-based bakery to a physical store.,62159,583,Fair,23074,40.31,1,1
I need a loan to pay for a down payment on my first home.,152585,597,Fair,1010,11.69,1,1
I need a loan to pay off overdue electricity and water bills.,178973,808,Excellent,11482,21.13,0,0
I need a loan to pay for a digital marketing course to grow my business.,131053,648,Fair,41306,32.02,1,1
I need money to launch my own tech startup focused on AI solutions.,128687,611,Fair,86344,34.49,0,0
I need money to start a home-based catering business.,177868,498,Poor,3020,9.38,1,0
"I need a loan for home renovation, including a kitchen remodel.",189914,511,Poor,97219,18.87,0,0
I need a loan to buy a truck and start a moving business.,159276,676,Good,43949,14.95,0,0
I need funds to pay for my pilot training program.,105012,519,Poor,77020,5.03,1,0
I need a loan to cover moving expenses after being transferred to another city.,129720,594,Fair,3367,14.22,1,1
I need a loan to pay off overdue electricity and water bills.,53807,453,Poor,23676,30.4,0,0
I need a loan to pay for my son's medical treatment and therapy.,24996,564,Poor,5526,39.93,1,1
I want to buy a car for my rideshare business on Uber.,123084,613,Fair,91729,16.76,0,0
I need a loan to start a small business.,169945,587,Fair,97958,15.1,0,0
I need a loan to pay for a down payment on my first home.,132320,302,Poor,73801,13.76,1,0
I want to start a local transportation service and need funds for a van.,35568,792,Very Good,2994,27.0,1,1
I need a loan to develop and launch my mobile app startup.,86864,623,Fair,57174,45.41,0,0
I need a loan to pay for an international vacation with my family.,184878,770,Very Good,63728,25.93,0,0
I need a loan to build a website and market my freelance services.,178084,550,Poor,59678,27.02,1,0
I need money to pay for a vocational training course in plumbing.,152506,500,Poor,70072,11.7,0,0
I need funds to expand my home-based bakery to a physical store.,165205,824,Excellent,105479,11.37,1,0
I want to purchase land to start an organic farming venture.,154407,425,Poor,28576,22.23,0,0
I need financial help to install a swimming pool in my backyard.,46868,687,Good,12831,59.41,1,0
I need money to pay for a vocational training course in plumbing.,107194,338,Poor,84228,34.69,1,0
I need a loan to build a website and market my freelance services.,162454,802,Excellent,97043,12.47,0,0
I need money to cover unexpected legal expenses related to a dispute.,49886,835,Excellent,25700,13.31,0,0
I need a loan to relocate to a new city after getting a job offer.,137839,713,Good,60887,24.56,0,0
I need financial help to install a swimming pool in my backyard.,128346,753,Very Good,94323,38.14,1,0
I need a loan to build a website and market my freelance services.,39722,845,Excellent,20949,23.74,1,1
I need financial help to cover maternity and delivery expenses.,190933,748,Very Good,113775,11.71,1,1
I need a loan to buy a reliable used car for work commuting.,195278,734,Good,68184,7.86,1,1
I need funds to pay for my pilot training program.,50762,356,Poor,16834,40.24,1,0
I need funds to upgrade my computer and buy software for freelance work.,165779,783,Very Good,50232,22.71,0,0
I need financial help to install a swimming pool in my backyard.,127179,702,Good,28718,8.11,1,1
I need financial support for medical treatment abroad.,89313,778,Very Good,27724,35.17,0,0
I need funds to pay for my daughter's college tuition.,22947,776,Very Good,10799,61.73,1,0
I need money to publish and market my self-written book.,189957,663,Fair,3172,20.73,1,1
I need money to publish and market my self-written book.,132390,744,Very Good,22108,31.92,0,0
I need funds to launch my handmade jewelry brand online.,24303,634,Fair,9758,38.04,1,1
I need a loan to cover hospital bills after an unexpected surgery.,151916,778,Very Good,46185,12.93,0,0
I need a loan to pay for my son's medical treatment and therapy.,91622,531,Poor,43151,25.99,1,0
I need money to open a small bookstore and café.,96985,701,Good,9060,11.93,0,0
I need financial support to pay for my son's football training program.,170437,755,Very Good,38334,20.49,1,1
I need a loan to buy a motorcycle for daily transportation.,57063,739,Good,25829,44.07,1,1
I want to pay off my payday loans and switch to a lower-interest option.,83428,542,Poor,2373,8.67,1,0
I need money to purchase specialized tools for my auto repair shop.,129962,781,Very Good,91936,25.88,1,0
I need financial help to install a swimming pool in my backyard.,30145,626,Fair,9262,40.12,0,0
I need a loan to finance my MBA and career advancement.,165251,686,Good,3561,28.77,1,1
I need financial assistance to launch my own YouTube content creation business.,155193,372,Poor,100834,9.76,1,0
I need financial support to pay for my son's football training program.,109663,306,Poor,4315,7.83,0,0
I need a loan to cover emergency expenses after a natural disaster.,111221,674,Good,46402,35.71,1,1
I need a loan to buy a motorcycle for daily transportation.,57657,564,Poor,21894,37.79,0,0
I need financial assistance to launch my own YouTube content creation business.,108793,487,Poor,24789,17.37,1,0
I need money to refinance my home loan at a lower interest rate.,99615,848,Excellent,41519,45.48,0,0
I need a loan to pay for legal fees related to my business license.,167851,503,Poor,14577,11.12,1,0
I need a loan to cover emergency expenses after a natural disaster.,103055,744,Very Good,43879,41.98,1,1
I want to start a local transportation service and need funds for a van.,189902,415,Poor,119850,4.84,1,0
"I need a loan for home renovation, including a kitchen remodel.",118502,534,Poor,20040,33.55,1,0
I need funds to upgrade my computer and buy software for freelance work.,102305,435,Poor,58777,39.81,0,0
I need money to cover unexpected legal expenses related to a dispute.,152464,540,Poor,103342,3.6,1,0
I need a loan to pay for a digital marketing course to grow my business.,34786,669,Fair,3448,41.6,0,0
"I need financial help to cover wedding expenses, including the venue and catering.",103995,692,Good,74352,8.1,1,0
I want to make home improvements like installing solar panels.,169672,398,Poor,108058,8.73,1,0
I need a loan to cover moving expenses after being transferred to another city.,163209,662,Fair,75351,24.28,0,0
I want to pay off my payday loans and switch to a lower-interest option.,89060,369,Poor,36628,45.93,0,0
I want to consolidate my credit card debts into one manageable payment.,175775,547,Poor,113163,23.11,0,0
I need a loan to cover hospital bills after an unexpected surgery.,140338,371,Poor,102026,32.62,1,0
I need financial support to pay for my son's football training program.,188156,352,Poor,67450,15.64,0,0
I need a loan to cover hospital bills after an unexpected surgery.,158802,783,Very Good,45073,4.67,0,0
I need money to open a small bookstore and café.,60154,530,Poor,4099,11.3,0,0
I need a loan to pay for a much-needed vacation after years of saving.,22755,399,Poor,8247,61.87,0,0
"I need financial help to cover wedding expenses, including the venue and catering.",129327,704,Good,50148,35.71,0,0
I need financial assistance to launch my own YouTube content creation business.,34495,668,Fair,12432,20.02,1,1
I need money to publish and market my self-written book.,114575,681,Good,57124,30.55,0,0
I need a loan to buy a truck and start a moving business.,160988,517,Poor,76095,22.49,1,0
I need money to refinance my home loan at a lower interest rate.,177768,615,Fair,70875,20.78,1,1
I want to start a small roadside food stall and need funds for equipment.,59836,342,Poor,22338,29.24,1,0
I need a loan to cover emergency expenses after a natural disaster.,168510,696,Good,33702,3.68,1,1
I need money to cover unexpected legal expenses related to a dispute.,139424,732,Good,66154,16.37,1,1
I need funds to stock inventory for my new retail store.,41144,403,Poor,27653,23.98,1,0
I want to invest in livestock to start a small dairy farm.,134518,726,Good,18518,36.54,1,1
I need a loan to buy a truck and start a moving business.,137969,496,Poor,73379,33.66,1,0
I need a loan to pay off overdue electricity and water bills.,85359,307,Poor,32898,52.85,1,0
I need a loan to cover moving expenses after being transferred to another city.,116991,466,Poor,65326,18.27,1,0
I need money to cover funeral expenses for a loved one.,100920,695,Good,26701,19.04,1,1
I need money to publish and market my self-written book.,136123,570,Poor,21107,34.15,0,0
I want to buy a car for my rideshare business on Uber.,103857,713,Good,52470,39.68,0,0
"I need financial help to cover wedding expenses, including the venue and catering.",114452,658,Fair,72365,16.69,1,0
I want to pay off my payday loans and switch to a lower-interest option.,142976,681,Good,13128,5.93,0,0
I need money to start a home-based catering business.,77900,641,Fair,36419,44.62,1,1
"I need financial help to cover wedding expenses, including the venue and catering.",146061,764,Very Good,94378,31.29,0,0
I want to make home improvements like installing solar panels.,93936,843,Excellent,16002,41.57,0,0
I need a loan to pay for an international vacation with my family.,97322,577,Poor,54260,33.94,1,1
I need a loan to support my side business selling handmade candles.,86201,413,Poor,13216,40.33,1,0
I need a loan to start a small business.,126606,672,Good,19546,25.43,0,0
I need financial support to open a daycare center in my neighborhood.,132248,849,Excellent,48452,31.2,0,0
I need funds to launch my handmade jewelry brand online.,194862,640,Fair,105607,10.47,1,1
I need financial support to pay for my son's football training program.,150097,735,Good,48261,22.26,0,0
I need a loan to buy a reliable used car for work commuting.,64219,534,Poor,19453,35.9,1,0
I want to invest in a rental property as a source of passive income.,167074,404,Poor,48449,19.78,1,0
I need money to open a small bookstore and café.,132470,575,Poor,41596,29.02,1,1
I want to start a mobile pet grooming service and need funds for supplies.,189903,701,Good,82802,5.97,0,0
I need a loan to buy a motorcycle for daily transportation.,163829,829,Excellent,53939,12.4,1,1
I need money to buy new tools and materials for my woodworking business.,160901,361,Poor,50027,29.96,1,0
I need funds to buy new furniture and appliances for my house.,42728,669,Fair,14084,24.29,1,1
I need funds to buy new furniture and appliances for my house.,110572,741,Very Good,15322,11.26,0,0
I need a loan to start a small business.,62953,796,Very Good,19974,60.7,0,0
I need a loan to install a security system at home.,97884,614,Fair,76712,35.65,1,0
I need money to invest in stock trading and portfolio building.,64777,479,Poor,51450,30.65,1,0
I need a loan to build a website and market my freelance services.,119683,377,Poor,92610,37.59,0,0
I need a loan to buy a motorcycle for daily transportation.,64606,654,Fair,36801,60.71,0,0
I need a loan to upgrade my small music studio with better equipment.,91660,501,Poor,29241,14.04,0,0
I need financial support to pay for my son's football training program.,99799,315,Poor,59645,39.66,0,0
I need money to invest in stock trading and portfolio building.,91793,328,Poor,26599,37.69,0,0
I need financial help to pay off my high-interest payday loans.,170655,729,Good,128691,6.94,0,0
I need money to invest in a franchise business opportunity.,109534,749,Very Good,78302,33.59,1,0
I need funds to pay for my pilot training program.,52690,818,Excellent,19950,39.7,0,0
I need financial help to pay off my high-interest payday loans.,106193,427,Poor,67327,10.04,1,0
I need funds to launch my handmade jewelry brand online.,88341,641,Fair,11214,28.9,1,1
I need financial support to renovate my rental apartment.,47386,677,Good,34677,28.44,0,0
I need a loan to finance my MBA and career advancement.,101599,557,Poor,9738,5.31,0,0
I need funds to enroll in a professional certification program.,195857,762,Very Good,100780,4.16,0,0
I need financial assistance to buy farm equipment for my agricultural business.,99766,613,Fair,28832,26.39,1,1
I need financial support to pay for my son's football training program.,111631,483,Poor,13631,5.66,0,0
I need money to open a small bookstore and café.,180700,397,Poor,115132,12.78,1,0
I need money to open a small bookstore and café.,199537,605,Fair,92934,5.02,0,0
I want to invest in a rental property as a source of passive income.,69227,786,Very Good,34928,47.5,0,0
I need a loan to start a small business.,182291,390,Poor,71026,9.99,1,0
I need a loan to buy a truck and start a moving business.,152862,370,Poor,82087,3.94,1,0
I need funds to upgrade my computer and buy software for freelance work.,172677,667,Fair,50656,15.3,0,0
I need a loan to repair my car after an accident.,120574,337,Poor,23916,29.53,0,0
I need funds to expand my home-based bakery to a physical store.,40417,829,Excellent,18534,20.41,0,0
I need a loan to finance my MBA and career advancement.,156435,831,Excellent,51150,6.07,0,0
I want to start a mobile pet grooming service and need funds for supplies.,56679,779,Very Good,13804,28.47,1,1
I need funds to pay for my daughter's college tuition.,139452,317,Poor,95825,18.23,0,0
I need funds to upgrade my computer and buy software for freelance work.,85730,648,Fair,31946,6.08,1,1
I need a loan to start a small business.,119001,302,Poor,47873,18.61,1,0
"I need financial help to cover wedding expenses, including the venue and catering.",154119,385,Poor,63836,25.07,1,0
I need a loan to repair my car after an accident.,33830,329,Poor,17153,49.13,0,0
I need a loan to finance my MBA and career advancement.,56361,767,Very Good,11900,30.19,1,1
I need financial support to pay for my son's football training program.,78191,736,Good,57171,57.78,0,0
I need a loan to relocate to a new city after getting a job offer.,88608,512,Poor,51572,16.45,1,0
I need money to buy new tools and materials for my woodworking business.,173390,349,Poor,122720,12.72,1,0
I need financial help to cover maternity and delivery expenses.,75271,635,Fair,11767,18.91,0,0
I need a loan to pay for a much-needed vacation after years of saving.,88203,510,Poor,46085,9.56,1,0
I want to start a small roadside food stall and need funds for equipment.,69763,612,Fair,7327,41.84,1,1
I want to purchase land to start an organic farming venture.,181107,744,Very Good,39028,13.47,0,0
I need a loan to relocate to a new city after getting a job offer.,186056,688,Good,7685,4.87,0,0
I need a loan to buy a motorcycle for daily transportation.,142434,561,Poor,92836,4.02,0,0
I need funds to enroll in a professional certification program.,87728,548,Poor,51692,14.25,0,0
I need funds to enroll in a professional certification program.,38051,391,Poor,15228,47.6,0,0
I want to buy a car for my rideshare business on Uber.,101388,350,Poor,21498,46.36,0,0
I need a loan to pay for a digital marketing course to grow my business.,65438,738,Good,3762,11.72,0,0
I want to invest in livestock to start a small dairy farm.,161562,487,Poor,25817,9.88,0,0
I need money to cover funeral expenses for a loved one.,114371,773,Very Good,81742,39.28,1,0
I need financial help to install a swimming pool in my backyard.,189417,626,Fair,79803,22.47,0,0
I need funds to stock inventory for my new retail store.,60792,633,Fair,43006,15.1,0,0
I need funds to upgrade my computer and buy software for freelance work.,147438,629,Fair,79182,11.21,0,0
I need a loan to pay for a down payment on my first home.,140172,663,Fair,49000,22.18,0,0
I want to make home improvements like installing solar panels.,62570,827,Excellent,45118,61.73,0,0
I need financial assistance to launch my own YouTube content creation business.,72913,848,Excellent,29059,23.77,0,0
I need money to invest in a franchise business opportunity.,130997,655,Fair,8632,26.53,1,1
I need money to pay for a vocational training course in plumbing.,78851,828,Excellent,24359,47.32,1,1
I need a loan to cover moving expenses after being transferred to another city.,66806,375,Poor,19824,37.04,1,0
I need money to buy new tools and materials for my woodworking business.,95634,639,Fair,38819,36.34,1,1
I need funds to expand my home-based bakery to a physical store.,156404,505,Poor,91850,26.74,1,0
I need a loan to pay for a much-needed vacation after years of saving.,59502,680,Good,15098,39.94,1,1
I need a loan to install a security system at home.,109547,554,Poor,23659,24.88,1,1
I need financial help to cover maternity and delivery expenses.,36559,801,Excellent,23291,48.75,0,0
I need money to open a small bookstore and café.,130094,321,Poor,70805,25.63,1,0
I need financial help to build my dream home in the countryside.,143264,404,Poor,63367,19.86,0,0
I need funds to pay for my daughter's college tuition.,75925,320,Poor,12764,20.6,1,0
I need money to cover unexpected legal expenses related to a dispute.,74958,646,Fair,7986,38.44,1,1
I need money to refinance my home loan at a lower interest rate.,129450,824,Excellent,18877,15.23,1,1
